Industry Name,City,State,Country,Website
Google,Mountain View,CA,US,https://www.google.com
Microsoft,Redmond,WA,US,https://www.microsoft.com
Meta,Menlo Park,CA,US,https://www.meta.com
Apple,Cupertino,CA,US,https://www.apple.com
Amazon,Seattle,WA,US,https://www.amazon.com
Netflix,Los Gatos,CA,US,https://www.netflix.com
Tesla,Austin,TX,US,https://www.tesla.com
NVIDIA,Santa Clara,CA,US,https://www.nvidia.com
Intel,Santa Clara,CA,US,https://www.intel.com
Salesforce,San Francisco,CA,US,https://www.salesforce.com
